Year,Market_cap,Change
2023,$321.97,9.89
2022,$293.00,-33.72
2021,$442.07,-11.73
2020,$500.83,56.64
2019,$319.73,38.79
2018,$230.36,-27.84
2017,$319.26,56.51
2016,$203.99,32.65
2015,$153.77,-12.85
2014,$176.45,-6.85
2013,$189.44,-8.98
2012,$208.13,59.29
2011,$130.66,19.52
2010,$109.32,21.3
2009,$90.12,95.41
2008,$46.12,-41.33
2007,$78.61,0
