Continent,Country,numUsers,iosMarketShare,androidMarketShare,country_Latitude,country_Longitude,Continent_Latitude,Continent_Longitude,Market Dominator,market leader value
Europe,Spain,55740000,21.4,78.09,40,-4,56.134075,15.533798,Android,78.09
Europe,Sweden,14500000,55.33,44.13,62,15,56.134075,15.533798,IOS,55.33
Europe,Switzerland,,55.92,43.21,47,8,56.134075,15.533798,IOS,55.92
Europe,Ukraine,57505555,18.42,81.26,49,32,56.134075,15.533798,Android,81.26
Europe,United Kingdom,83100000,51.63,47.8,54,-2,56.134075,15.533798,IOS,51.63
Europe,Vatican City,,39.62,59.16,,,56.134075,15.533798,Android,59.16
North America,Antigua and Barbuda,,26.66,72.83,17.05,-61.8,49.344586,-102.777709,Android,72.83
North America,Bahamas,,50.51,49.17,24.25,-76,49.344586,-102.777709,IOS,50.51
North America,Barbados,,27.69,71.44,13.17,-59.53,49.344586,-102.777709,Android,71.44
North America,Belize,,51.41,48.29,17.25,-88.75,49.344586,-102.777709,IOS,51.41
North America,Canada,31210628,57.84,41.53,60,-95,49.344586,-102.777709,IOS,57.84
North America,Costa Rica,,21.84,77.87,10,-84,49.344586,-102.777709,Android,77.87
North America,Cuba,1300000,8.73,91.12,21.5,-80,49.344586,-102.777709,Android,91.12
North America,Dominica,,15.76,82.77,15.42,-61.33,49.344586,-102.777709,Android,82.77
North America,Dominican Republic,,31.14,68.5,19,-70.67,49.344586,-102.777709,Android,68.5
North America,El Salvador,,12.24,87.48,13.83,-88.92,49.344586,-102.777709,Android,87.48
North America,Grenada,,24.86,74.83,12.12,-61.67,49.344586,-102.777709,Android,74.83
North America,Guatemala,17571895,15.92,83.84,15.5,-90.25,49.344586,-102.777709,Android,83.84
North America,Haiti,,14.52,85.39,19,-72.42,49.344586,-102.777709,Android,85.39
North America,Honduras,,18.74,80.79,15,-86.5,49.344586,-102.777709,Android,80.79
North America,Jamaica,,25.41,73.93,18.25,-77.5,49.344586,-102.777709,Android,73.93
North America,Mexico,101339000,19.93,79.78,23,-102,49.344586,-102.777709,Android,79.78
North America,Nicaragua,,11.18,88.52,13,-85,49.344586,-102.777709,Android,88.52
North America,Panama,6900000,17.73,81.91,9,-80,49.344586,-102.777709,Android,81.91
North America,Saint Kitts and Nevis,,29.8,69.52,17.33,-62.75,49.344586,-102.777709,Android,69.52
North America,Saint Lucia,,22.9,76.77,13.88,-61.13,49.344586,-102.777709,Android,76.77
North America,Saint Vincent and the Grenadines,,20.06,79.15,13.25,-61.2,49.344586,-102.777709,Android,79.15
North America,Trinidad and Tobago,2060000,23.09,75.8,11,-61,49.344586,-102.777709,Android,75.8
North America,United States of America,327577529,56.74,42.94,38,-97,49.344586,-102.777709,IOS,56.74
Oceania,Australia,20570000,57.47,41.15,-27,133,-16.345296,131.93519,IOS,57.47
Oceania,Fiji,,10.58,89.07,-18,175,-16.345296,131.93519,Android,89.07
Oceania,Kiribati,,3.85,95.88,1.42,173,-16.345296,131.93519,Android,95.88
Oceania,Marshall Islands,,13.08,86.74,9,168,-16.345296,131.93519,Android,86.74
Oceania,Micronesia,,24.89,74.64,,,-16.345296,131.93519,Android,74.64
Oceania,Nauru,,5.49,94.39,-0.53,166.92,-16.345296,131.93519,Android,94.39
Oceania,New Zealand,4761000,46.34,52.27,-41,174,-16.345296,131.93519,Android,52.27
Oceania,Palau,,32.95,66.75,7.5,134.5,-16.345296,131.93519,Android,66.75
Oceania,Papua New Guinea,,2.83,96.87,-6,147,-16.345296,131.93519,Android,96.87
Oceania,Samoa,,15.5,84.21,-13.58,-172.33,-16.345296,131.93519,Android,84.21
Oceania,Solomon Islands,,5.84,93.93,-8,159,-16.345296,131.93519,Android,93.93
Oceania,Tonga,,20.14,79.4,-20,-175,-16.345296,131.93519,Android,79.4
Oceania,Tuvalu,,4.83,95.17,-8,178,-16.345296,131.93519,Android,95.17
Oceania,Vanuatu,,7.54,91.48,-16,167,-16.345296,131.93519,Android,91.48
South America,Argentina,56725200,7.97,91.82,-34,-64,-19.585854,-60.477626,Android,91.82
South America,Bolivia,,5.37,94.22,-17,-65,-19.585854,-60.477626,Android,94.22
South America,Brazil,284200000,14.45,85.33,-10,-55,-19.585854,-60.477626,Android,85.33
South America,Chile,21000000,16.76,82.9,-30,-71,-19.585854,-60.477626,Android,82.9
South America,Colombia,57900472,11.24,88.4,4,-72,-19.585854,-60.477626,Android,88.4
South America,Ecuador,15900000,13.35,86.22,-2,-77.5,-19.585854,-60.477626,Android,86.22
South America,Guyana,,17.55,81.77,5,-59,-19.585854,-60.477626,Android,81.77
South America,Paraguay,,7.34,92.44,-23,-58,-19.585854,-60.477626,Android,92.44
South America,Peru,34235000,8.14,91.36,-10,-76,-19.585854,-60.477626,Android,91.36
South America,Suriname,,18.62,80.44,4,-56,-19.585854,-60.477626,Android,80.44
South America,Uruguay,,16.01,83.8,-33,-56,-19.585854,-60.477626,Android,83.8
South America,Venezuela,32019086,5.85,93.83,8,-66,-19.585854,-60.477626,Android,93.83
