"country","iosMarketShare","androidMarketShare","pop2023"
"Samoa",15.5,84.21,225681
"Liberia",15.17,79.07,5418377
"Bulgaria",14.97,84.76,6687717
"Haiti",14.52,85.39,11724763
"Brazil",14.45,85.33,216422446
"Djibouti",14.32,85.38,1136455
"Namibia",13.86,85.41,2604172
"Egypt",13.81,85.97,112716598
"Sao Tome and Principe",13.74,85.96,231856
"Gabon",13.64,85.51,2436566
"Cameroon",13.38,84.12,28647293
"Zimbabwe",13.36,84.87,16665409
"Ecuador",13.35,86.22,18190484
"Marshall Islands",13.08,86.74,41996
"Mayotte",12.95,86.82,335995
"Somalia",12.87,86.78,18143378
"Kyrgyzstan",12.8,87.1,6735347
"Tajikistan",12.58,87.12,10143543
"Bhutan",12.58,87.32,787424
"Mauritius",12.44,87.05,1300557
"El Salvador",12.24,87.48,6364943
"Timor-Leste",11.79,88.11,1360596
"Myanmar",11.6,88.07,54577997
"Sri Lanka",11.41,88.37,21893579
"Colombia",11.24,88.4,52085168
"Nicaragua",11.18,88.52,7046310
"Benin",11.04,85.4,13712828
"Bosnia and Herzegovina",10.97,88.58,3210847
"Nigeria",10.94,84.34,223804632
"Fiji",10.58,89.07,936375
"Poland",10.57,89.2,41026067
"Libya",10.48,89.31,6888388
"Philippines",10.43,88.95,117337368
"Mozambique",9.95,86.86,33897354
"Uzbekistan",9.83,89.92,35163944
"Togo",9.71,89.09,9053799
"Sierra Leone",9.67,85.48,8791092
"DR Congo",9.53,75.33,102262808
"Botswana",9.45,90.12,2675352
"Indonesia",9.43,90.47,277534122
"Chad",9.34,90.23,18278568
"Zambia",8.98,87.38,20569737
"Comoros",8.86,90.66,852075
"Niger",8.8,90.35,27202843
"Cuba",8.73,91.12,11194449
"Nepal",8.43,91.5,30896590
"Peru",8.14,91.36,34352719
"Tunisia",8.13,91.56,12458223
"Argentina",7.97,91.82,45773884
"Tanzania",7.75,78.46,67438106
"Vanuatu",7.54,91.48,334506
"Paraguay",7.34,92.44,6861524
"Burkina Faso",7.25,90.66,23251485
"Sudan",6.9,88.61,48109006
"Iran",6.82,92.93,89172767
"Uganda",6.53,78.26,48582334
"Pakistan",5.9,93.32,240485658
"Venezuela",5.85,93.83,28838499
"Solomon Islands",5.84,93.93,740424
"Algeria",5.81,93.98,45606480
"Nauru",5.49,94.39,12780
"Bolivia",5.37,94.22,12388571
"Ethiopia",5.33,91.73,126527060
"Burundi",4.95,84.25,13238559
"Tuvalu",4.83,95.17,11396
"Central African Republic",4.46,84.97,5742315
"Madagascar",4.36,93.23,30325732
"India",3.92,95.26,1428627663
"Kiribati",3.85,95.88,133515
"Lesotho",3.8,95.2,2330318
"Bangladesh",3.7,95.74,172954319
"Malawi",3.7,93.17,20931751
"Syria",3.66,95.87,23227014
"Kenya",3.43,90.67,55100586
"Papua New Guinea",2.83,96.87,10329931
"Eritrea",2.57,90.94,3748901
"Yemen",2.17,95.61,34449825
"Western Sahara",1.6,98.35,587259
